rank,title,combined,first_ep,avg,rsi_victory,verdict,cast_auto,creator_auto,confidence,verification_needed,unverified_persons,platform,release_date
1,모두가 자신의 무가치함과 싸우고 있다,66.9,64.1,67.0,70.7,🔥 중박 이상,7.5,9.0,0.9,True,구교환,JTBC+Netflix+TVING,
2,신입사원 강 회장,62.7,64.0,61.6,63.4,⚡ 승부처,5.9,0.0,0.75,True,감독:고혜진|작가:현지민,JTBC+TVING,2026.05.30
3,원더풀스,62.5,66.8,59.2,64.1,⚡ 승부처,6.7,5.0,0.88,True,작가:허다중,Netflix,2026.05.15
4,오늘도 매진했습니다,60.5,60.9,58.8,63.9,⚡ 승부처,6.0,0.0,0.6,True,감독:이슬기|작가:진승희,SBS+Netflix,2026.04.22
5,오십프로,60.2,59.8,59.9,61.5,⚡ 승부처,7.0,0.0,0.6,True,감독:한동화|작가:장원섭,MBC+TVING+Wavve,2026.05.22
6,취사병 전설이 되다,57.7,62.9,58.1,49.1,⚡ 승부처,0.0,3.3,0.33,True,박지훈|작가:최룡,TVING+tvN,2026.05.11
7,유미의 세포들3,57.2,58.8,56.7,56.1,⚡ 승부처,6.9,2.3,0.83,True,감독:이상엽,TVING→tvN,2026.04.13
8,허수아비,56.8,51.4,59.2,58.7,⚡ 승부처,6.9,8.0,1.0,False,,ENA+GenieTV,2026.04.20
9,멋진 신세계,56.6,58.9,54.6,58.2,⚡ 승부처,4.5,0.0,0.5,True,감독:한태섭|작가:강현주,SBS+Netflix,2026.05.08
10,21세기 대군부인,54.1,63.3,49.2,52.5,❓ 다크호스,6.9,2.0,0.83,True,노상현,MBC+Disney+,2026.04.10
11,골드랜드,52.9,52.1,52.9,54.2,❓ 다크호스,5.3,5.0,0.5,True,이현욱|문정희|이광수|작가:황조윤,Disney+,2026.04.29
12,은밀한 감사,50.9,49.0,50.9,53.7,❓ 다크호스,5.5,6.9,1.0,False,,tvN+TVING,
13,기리고,44.9,44.7,44.3,46.7,📉 난항 예상,4.8,0.0,0.5,True,박예은|감독:박윤서|작가:박중섭,Netflix,2026.04.24
14,로맨스의 절댓값,37.9,31.7,40.3,41.4,📉 난항 예상,5.4,0.0,0.56,True,김재현|손정혁|윤동주|김동규,,
